23:28:50 -- 0:00:00.000273:  Started protein 1l2y.
23:28:50 -- 0:00:00.086357:  File read.
23:28:50 -- 0:00:00.111341:  9 patches built, 1 deleted due to small size.
23:28:51 -- 0:00:01.042535:  Distances built(Patches).
23:28:51 -- 0:00:01.042814:  Surfaces built.
23:28:51 -- 0:00:01.062433:  Centers built.
23:28:51 -- 0:00:01.182553:  Distances built(Universal).
23:28:51 -- 0:00:01.198454:  Finished protein 1l2y.
23:28:51 -- 0:00:01.199982:  Started protein 1kzm.
23:28:52 -- 0:00:02.069643:  File read.
23:28:54 -- 0:00:04.254015:  86 patches built, 41 deleted due to small size.
